Customer_ID,Age,Balance,Credit_Score,Tenure,Exited,Geography
97,47,17461,704,7,1,UK
98,62,110123,578,7,1,USA
99,60,20516,623,3,1,UK
100,58,131251,717,6,0,UK
101,41,72493,503,8,0,UK
102,36,46027,589,4,1,UK
103,53,103547,603,8,0,UK
104,25,110127,618,2,0,India
105,25,89003,632,9,1,India
106,53,49758,811,9,1,India
107,20,64312,595,8,1,USA
108,29,78670,830,1,1,UK
109,40,92279,642,2,1,India
110,24,25434,787,6,1,USA
111,21,85769,527,5,0,India
112,41,76677,777,9,0,India
113,21,93555,732,5,1,UK
114,29,138379,516,2,0,USA
115,53,111665,558,4,1,UK
116,35,78803,589,9,1,UK
117,58,101703,698,1,1,India
118,41,31312,525,1,1,UK
119,31,127961,524,7,0,USA
120,43,50379,800,3,1,UK
121,59,27297,838,2,0,UK
122,57,12011,766,9,1,UK
123,29,130234,680,3,1,India
124,54,54014,567,2,1,USA
125,51,104333,820,8,0,India
126,26,21120,548,6,1,India
127,40,149839,674,6,1,India
128,39,32852,551,7,1,India
129,45,89239,601,7,0,India
130,23,142001,715,6,0,USA
131,41,101575,687,4,0,UK
132,34,105040,556,9,1,India
133,59,15744,546,6,0,India
134,40,148141,658,4,1,USA
135,34,52359,673,3,0,USA
136,41,108746,741,4,0,UK
137,47,130906,781,3,1,USA
138,33,17597,740,2,0,UK
139,46,57093,504,5,1,India
140,60,124650,583,2,1,India
141,59,130956,807,6,0,UK
142,47,125598,747,3,1,USA
143,45,143241,553,6,1,UK
144,21,18036,660,9,0,USA
145,44,41778,725,1,0,India
146,22,147416,514,6,1,USA
147,27,28800,723,9,0,UK
148,63,35372,560,4,1,UK
149,52,71516,621,2,1,India
150,61,30538,776,4,0,USA
151,54,73918,545,1,0,USA
152,25,81155,793,3,0,USA
153,58,69500,561,9,0,India
154,42,120659,585,5,1,USA
155,44,37716,709,6,1,UK
156,62,144308,577,3,0,USA
157,38,12352,701,5,0,India
158,24,143004,801,8,1,USA
159,30,86449,722,6,1,USA
160,31,18556,721,4,1,UK
161,29,96836,502,2,1,USA
162,27,146570,505,9,0,UK
163,43,60098,592,1,1,UK
164,47,122169,507,1,1,India
165,60,136060,734,4,0,UK
166,55,140544,607,7,1,UK
167,56,10340,660,1,1,India
168,40,92302,708,9,0,UK
169,27,10138,739,4,0,India
170,28,141430,830,3,0,USA
171,34,129619,832,1,1,India
172,59,95376,549,4,1,UK
173,37,109931,510,9,0,India
174,61,91532,655,6,0,UK
175,39,65778,569,6,1,USA
176,25,47772,668,1,0,India
177,31,68478,771,2,0,USA
178,21,36762,567,6,0,UK
179,26,65568,751,2,1,UK
180,35,95090,547,3,1,USA
181,22,30219,683,4,1,India
182,64,67169,819,5,1,India
183,22,84965,686,9,1,UK
184,46,94754,589,4,1,USA
185,62,87988,831,9,0,USA
186,59,142379,638,3,1,India
187,57,90388,588,8,1,India
188,52,100768,773,1,0,India
189,47,45428,518,9,1,USA
190,20,102021,810,9,1,India
191,27,128418,653,2,0,India
192,56,142212,759,4,0,UK
193,51,36421,607,8,0,India
194,62,11708,784,7,1,India
195,56,144702,558,1,0,USA
196,23,86021,624,5,1,USA
197,49,54789,772,7,1,UK
198,25,36086,606,4,1,India
199,38,26859,798,1,1,UK
200,51,17684,744,9,0,USA
201,28,101088,835,5,0,UK
202,31,142279,746,2,1,USA
203,30,56099,507,8,0,UK
204,35,76093,640,2,1,UK
205,20,58651,507,3,1,India
206,64,23893,593,1,1,UK
207,40,76418,820,2,0,India
208,49,135074,538,7,1,India
209,32,113065,580,2,1,India
210,53,140351,686,6,0,India
211,23,48635,583,3,0,UK
212,47,105071,587,4,0,USA
213,57,88518,741,8,0,USA
214,50,116233,841,3,1,USA
215,46,113651,592,6,0,UK
216,24,82805,585,1,1,India
217,44,132813,543,7,0,USA
218,22,89063,636,8,0,UK
219,52,12454,573,8,0,India
220,23,30878,535,3,0,USA
221,44,78344,600,1,0,India
222,39,114946,655,9,0,USA
223,53,46593,754,6,1,USA
224,45,46304,670,9,0,USA
225,24,123613,715,7,0,India
226,54,28354,669,1,0,UK
227,47,32190,751,1,0,India
228,48,16142,821,6,1,USA
229,28,51862,554,5,0,India
230,57,135438,590,9,0,UK
231,25,58456,777,2,0,India
232,38,110167,600,8,0,UK
233,63,92035,654,5,1,UK
234,30,18016,848,2,0,India
235,21,12384,640,6,1,USA
236,63,112239,672,8,0,UK
237,63,121431,509,4,1,India
238,28,90018,727,2,1,UK
239,40,50510,764,5,0,USA
240,43,31826,747,2,0,India
241,53,78026,746,2,1,India
242,41,131668,654,6,1,India
243,22,34045,533,9,0,USA
244,31,100102,628,4,1,UK
245,47,61919,659,6,1,India
246,49,109441,588,7,1,UK
247,45,146917,592,6,0,UK
248,40,128325,826,8,1,USA
249,47,29337,740,4,1,India
250,45,87949,822,1,1,UK
251,52,10276,616,7,0,India
252,40,61151,593,3,0,India
253,54,62887,662,6,1,USA
254,53,91442,598,2,0,India
255,60,59847,612,9,1,India
256,37,68653,590,1,0,UK
257,30,66622,845,6,0,USA
258,42,37810,705,6,1,India
259,41,87842,516,5,0,UK
260,36,132225,773,5,0,USA
261,24,20503,672,1,0,USA
262,63,94761,615,5,1,UK
263,30,136439,848,2,0,UK
264,49,21590,680,7,0,UK
265,34,76624,590,3,1,UK
266,46,130356,581,4,0,UK
267,54,52727,823,3,0,India
268,52,88471,613,3,0,India
269,39,18068,756,4,0,USA
270,35,126923,557,5,0,India
271,53,148367,653,1,1,India
272,21,21390,615,4,1,India
273,54,116752,842,8,0,UK
274,59,104754,765,7,0,USA
275,47,85969,814,9,0,USA
276,58,87064,702,5,1,USA
277,25,31281,540,4,1,USA
278,28,64189,604,8,0,India
279,39,58511,692,9,0,India
280,20,132115,777,7,1,UK
281,27,18605,736,7,0,USA
282,42,110318,720,5,1,India
283,22,142453,567,4,1,India
284,23,29810,696,1,0,UK
285,44,51869,755,7,1,UK
286,57,42955,638,1,0,UK
287,34,71388,811,1,0,India
288,40,20207,648,5,0,India
289,54,32031,598,9,0,UK
290,33,90807,575,6,0,USA
291,55,81312,781,3,0,UK
292,31,69766,608,3,1,UK
293,36,99833,687,7,1,UK
294,58,121041,698,6,1,UK
295,28,126185,802,9,1,India
296,54,20350,826,6,0,USA
297,32,110859,653,5,1,UK
298,34,78487,539,7,1,USA
299,37,133853,632,1,1,USA
300,52,63117,631,7,0,USA
301,25,111084,778,3,1,UK
302,46,33782,583,9,0,India
303,42,38454,741,6,1,UK
304,46,77904,615,9,0,USA
305,53,139936,608,5,0,USA
306,57,132258,720,7,1,India
307,33,121668,540,4,0,UK
308,55,134184,646,7,0,USA
309,27,26566,611,1,1,India
310,54,148262,602,7,1,USA
311,38,48333,545,8,1,India
312,49,131929,823,5,0,India
313,33,99571,770,2,0,UK
314,39,130263,694,5,0,USA
315,44,142661,779,6,1,UK
316,59,35235,782,2,0,USA
317,43,10159,539,6,0,UK
318,33,114859,688,6,0,USA
319,45,117507,663,1,0,UK
320,57,149316,523,1,0,India
321,42,24743,523,3,0,USA
322,41,56101,503,3,0,USA
323,38,131534,822,4,1,India
324,22,94227,789,2,1,UK
325,61,81126,680,9,1,USA
326,38,66071,747,7,0,USA
327,28,84763,615,7,0,UK
328,47,56154,778,6,1,India
329,39,17016,568,3,0,UK
330,64,99678,753,6,1,UK
331,26,122056,680,8,0,UK
332,33,64238,817,8,0,USA
333,28,68608,668,9,1,India
334,38,99081,812,1,1,India
335,33,60961,748,1,1,UK
336,57,36917,687,3,1,USA
337,55,37990,553,3,1,UK
338,59,72551,825,8,0,USA
339,36,90811,812,1,0,USA
340,49,65103,637,2,0,USA
341,28,116122,667,2,1,USA
342,52,29008,602,3,1,India
343,44,42402,584,6,1,USA
344,33,146865,816,1,1,USA
345,30,146643,711,2,1,UK
346,54,123550,502,1,1,UK
347,60,101218,678,5,0,India
348,33,143296,841,7,0,UK
349,49,130779,802,8,0,USA
350,60,139714,831,1,0,UK
351,23,42441,537,7,0,India
352,23,72368,738,5,1,UK
353,47,102122,668,1,1,UK
354,27,54760,842,3,1,India
355,21,33478,813,7,1,India
356,60,137881,805,1,1,USA
357,41,81854,529,7,1,UK
358,60,104230,689,5,0,USA
359,35,95716,524,1,1,UK
360,48,108538,611,1,1,UK
361,49,25372,705,1,1,USA
362,31,39796,684,9,1,UK
363,54,108826,546,3,0,UK
364,30,130592,727,5,0,UK
365,40,103635,538,9,1,India
366,40,121022,515,6,0,USA
367,24,64040,521,9,0,India
368,39,85357,712,8,1,USA
369,56,88356,809,8,1,USA
370,22,26211,648,1,1,UK
371,63,115426,740,9,1,USA
372,52,15842,771,6,1,India
373,28,76852,558,9,0,India
374,28,135737,786,3,1,India
375,23,55968,701,3,1,USA
376,54,27508,531,6,1,India
377,36,64575,661,9,0,USA
378,53,76914,754,7,1,India
379,43,77055,753,3,1,India
380,51,97697,508,3,1,USA
381,20,116239,638,2,0,India
382,27,133106,509,9,1,UK
383,64,15355,713,3,1,USA
384,42,64120,772,5,1,USA
385,59,48342,823,9,0,USA
386,31,12257,547,8,1,UK
387,31,37364,610,2,1,USA
388,34,121715,652,3,1,India
389,60,36654,622,2,0,India
390,38,91423,601,8,1,India
391,45,39320,740,6,1,USA
392,48,30808,820,6,1,India
393,41,62389,690,9,0,USA
394,59,128581,716,8,0,India
395,40,137927,550,4,1,UK
396,57,44773,791,4,0,UK
397,39,86396,580,9,0,UK
398,48,117692,587,1,0,UK
399,23,67505,693,2,1,USA
400,26,95896,603,2,1,India
